id,case_id,event_type,occurred_at
1,1,opened,2025-12-28T11:09:34
2,1,assigned,2025-12-28T13:01:06.264005
3,1,first_response,2025-12-28T16:40:15.006678
4,1,resolved,2026-01-03T13:19:07.951325
5,2,opened,2025-04-28T04:39:58
6,2,assigned,2025-04-28T08:14:01.834283
7,2,first_response,2025-04-28T12:34:34.465344
8,2,resolved,2025-05-02T01:59:21.103381
9,3,opened,2026-02-13T09:37:11
10,3,assigned,2026-02-13T10:54:04.931860
11,3,first_response,2026-02-13T19:27:49.293108
12,3,resolved,2026-02-26T01:37:33.756386
13,4,opened,2025-12-04T11:41:47
14,4,assigned,2025-12-04T15:13:57.471709
15,4,first_response,2025-12-04T17:33:48.102195
16,4,docs_requested,2025-12-04T19:33:48.102195
17,4,docs_received,2025-12-16T01:43:18.033490
18,4,resolved,2025-12-17T01:43:18.033490
19,5,opened,2025-09-12T13:22:33
20,5,assigned,2025-09-12T16:53:39.163686
21,5,first_response,2025-09-13T04:53:39.163686
22,5,docs_requested,2025-09-13T06:53:39.163686
23,6,opened,2025-11-07T23:46:03
24,6,assigned,2025-11-08T02:25:05.444708
25,6,first_response,2025-11-08T10:35:06.371973
26,6,resolved,2025-11-17T08:55:47.674986
27,6,reopened,2025-11-28T00:28:52.041261
28,7,opened,2025-10-30T18:37:46
29,7,assigned,2025-10-30T19:08:37.960308
30,7,first_response,2025-10-30T22:19:45.858244
31,7,docs_requested,2025-10-31T00:19:45.858244
32,7,docs_received,2025-11-13T11:57:51.039679
33,7,escalated,2025-11-01T20:43:24.779751
34,7,resolved,2025-11-14T11:57:51.039679
35,8,opened,2026-01-12T17:40:42
36,8,assigned,2026-01-12T20:43:32.682084
37,8,first_response,2026-01-12T23:11:36.320608
38,8,docs_requested,2026-01-13T01:11:36.320608
39,8,docs_received,2026-01-25T05:07:59.455498
40,8,escalated,2026-01-15T19:12:36.432219
41,8,resolved,2026-01-26T05:07:59.455498
42,9,opened,2025-05-08T19:43:33
43,9,assigned,2025-05-08T21:00:39.449178
44,9,first_response,2025-05-09T09:00:39.449178
45,10,opened,2025-10-08T18:53:26
46,10,assigned,2025-10-08T22:19:01.112121
47,10,first_response,2025-10-09T04:49:23.748832
48,10,resolved,2025-10-17T02:52:23.114723
49,11,opened,2025-04-13T12:18:25
50,11,assigned,2025-04-13T14:59:12.251988
51,11,first_response,2025-04-14T19:16:05.802514
52,11,resolved,2025-04-15T10:33:04.681654
53,12,opened,2026-02-25T20:39:27
54,12,assigned,2026-02-25T22:35:29.928505
55,12,first_response,2026-02-26T04:33:10.295617
56,12,resolved,2026-03-07T13:17:40.027317
57,13,opened,2025-04-21T09:04:07
58,13,assigned,2025-04-21T12:17:49.030405
59,13,first_response,2025-04-21T15:18:50.949078
60,13,docs_requested,2025-04-21T17:18:50.949078
61,13,docs_received,2025-04-29T04:37:54.633103
