id,case_id,type,created_at,duration_minutes,advocate_id
1,1,call,2025-12-28T16:40:15.006678,22.5,28
2,1,call,2025-12-30T12:49:34.883927,6.9,28
3,1,doc_request,2025-12-31T13:30:17.829020,0.0,28
4,1,insurer_followup,2025-12-29T12:43:04.880393,28.2,28
5,1,call,2025-12-29T15:50:10.587186,7.2,28
6,2,call,2025-04-28T12:34:34.465344,6.2,6
7,2,call,2025-04-29T12:55:25.839977,4.7,6
8,2,insurer_followup,2025-04-30T00:02:24.416605,5.6,6
9,2,insurer_followup,2025-05-01T01:11:22.490429,5.7,6
10,2,chat,2025-05-01T07:01:51.201750,5.2,6
11,2,call,2025-04-30T21:40:49.984360,22.0,6
12,3,call,2026-02-13T19:27:49.293108,6.7,20
13,3,insurer_followup,2026-02-14T05:35:02.837869,24.1,20
14,3,email,2026-02-14T04:18:25.080646,28.0,20
15,3,insurer_followup,2026-02-16T06:38:51.461451,11.2,20
16,3,insurer_followup,2026-02-15T05:56:19.765982,7.4,20
17,4,call,2025-12-04T17:33:48.102195,23.7,30
18,4,doc_request,2025-12-04T19:33:48.102195,0.0,30
19,4,call,2025-12-07T03:46:25.176285,5.5,30
20,4,email,2025-12-05T04:50:23.145060,26.0,30
21,4,call,2025-12-05T16:29:54.738053,16.1,30
22,4,doc_request,2025-12-06T20:22:02.598163,0.0,30
23,4,insurer_followup,2025-12-06T14:05:36.242021,15.9,30
24,4,chat,2025-12-06T07:16:07.358476,11.0,30
25,4,email,2025-12-06T01:34:21.330557,9.4,30
26,5,call,2025-09-13T04:53:39.163686,20.8,22
27,5,doc_request,2025-09-13T06:53:39.163686,0.0,22
28,5,insurer_followup,2025-09-13T12:28:21.318358,16.5,22
29,5,call,2025-09-15T01:55:15.046327,29.6,22
30,5,email,2025-09-13T15:26:31.950163,10.7,22
31,5,call,2025-09-14T00:21:34.069612,12.4,22
32,5,call,2025-09-15T20:16:57.759341,9.4,22
33,6,call,2025-11-08T10:35:06.371973,23.4,10
34,6,chat,2025-11-09T11:47:23.426102,20.9,10
35,6,call,2025-11-11T08:11:30.934665,4.8,10
36,6,doc_request,2025-11-10T02:56:08.984148,0.0,10
37,6,insurer_followup,2025-11-09T12:11:04.432224,7.7,10
38,6,email,2025-11-10T10:30:15.360255,27.1,10
39,6,email,2025-11-08T12:43:34.554551,10.6,10
40,7,call,2025-10-30T22:19:45.858244,6.3,17
41,7,doc_request,2025-10-31T00:19:45.858244,0.0,17
42,7,insurer_followup,2025-11-01T20:43:24.779751,26.3,17
43,7,call,2025-11-02T01:39:52.095407,17.2,17
44,7,chat,2025-11-02T16:01:00.969639,19.3,17
45,7,insurer_followup,2025-11-01T11:47:50.117865,19.1,17
46,7,call,2025-11-02T21:00:38.595160,5.9,17
47,7,email,2025-11-02T21:39:28.892181,12.2,17
48,8,call,2026-01-12T23:11:36.320608,14.0,27
49,8,doc_request,2026-01-13T01:11:36.320608,0.0,27
50,8,insurer_followup,2026-01-15T19:12:36.432219,16.2,27
51,8,email,2026-01-14T02:40:39.860658,26.9,27
52,8,call,2026-01-15T12:48:54.241745,20.2,27
53,8,call,2026-01-13T07:14:34.670178,13.9,27
54,8,chat,2026-01-15T06:25:22.575410,12.9,27
55,8,insurer_followup,2026-01-13T19:19:21.939562,15.9,27
56,8,call,2026-01-14T23:37:37.203310,26.2,27
57,8,call,2026-01-14T22:58:01.515572,25.6,27
58,8,doc_request,2026-01-13T01:32:59.918261,0.0,27
59,8,insurer_followup,2026-01-14T12:50:25.814186,14.4,27
60,9,call,2025-05-09T09:00:39.449178,8.6,23
61,9,email,2025-05-11T18:07:57.678653,24.0,23
62,9,call,2025-05-09T18:11:36.519184,29.1,23
63,9,chat,2025-05-12T07:38:36.751461,17.6,23
64,9,call,2025-05-09T15:08:26.059269,29.2,23
65,10,call,2025-10-09T04:49:23.748832,20.2,12
66,10,email,2025-10-10T16:50:00.840228,3.2,12
67,10,call,2025-10-10T11:21:29.994879,22.4,12
68,10,insurer_followup,2025-10-09T15:20:35.834180,20.8,12
69,10,call,2025-10-09T16:37:25.510551,7.0,12
70,11,call,2025-04-14T19:16:05.802514,8.5,20
71,11,call,2025-04-15T08:07:11.646272,10.5,20
72,12,call,2026-02-26T04:33:10.295617,8.1,26
73,12,email,2026-02-27T07:36:25.093192,19.1,26
74,12,call,2026-02-26T08:47:21.640402,4.1,26
75,12,call,2026-02-28T11:08:40.243503,19.3,26
76,13,call,2025-04-21T15:18:50.949078,7.3,6
77,13,doc_request,2025-04-21T17:18:50.949078,0.0,6
78,13,doc_request,2025-04-22T19:25:33.429140,0.0,6
79,13,insurer_followup,2025-04-23T18:37:52.774202,12.4,6
80,13,insurer_followup,2025-04-21T19:23:35.665077,23.9,6
81,13,insurer_followup,2025-04-22T06:54:39.408109,28.5,6
82,13,call,2025-04-24T10:14:57.637132,20.4,6
83,13,insurer_followup,2025-04-23T10:45:27.215380,3.2,6
84,13,call,2025-04-24T10:22:40.141171,20.3,6
85,13,chat,2025-04-24T10:50:05.024249,16.2,6
86,13,email,2025-04-24T13:57:08.095577,15.5,6
87,13,call,2025-04-22T10:07:57.499288,17.6,6
88,14,call,2025-04-23T12:28:21.422782,22.0,6
89,14,chat,2025-04-23T16:08:01.291176,19.8,6
90,15,call,2025-11-15T12:28:08.123372,19.2,20
91,15,doc_request,2025-11-15T14:28:08.123372,0.0,20
92,15,call,2025-11-16T07:26:59.494095,12.0,20
93,15,doc_request,2025-11-17T19:36:09.800498,0.0,20
94,15,insurer_followup,2025-11-17T02:12:23.850220,28.1,20
95,15,chat,2025-11-16T08:51:12.650863,14.1,20
96,15,email,2025-11-16T22:15:29.451276,20.0,20
97,16,call,2025-12-12T05:29:49.146551,16.0,20
98,16,email,2025-12-12T13:26:49.763816,18.0,20
99,17,call,2025-08-17T08:27:00.924852,17.2,3
100,17,call,2025-08-17T12:01:49.275061,12.3,3
101,17,email,2025-08-20T07:08:38.302036,22.2,3
102,18,call,2025-09-08T02:40:41.931315,5.5,6
103,18,chat,2025-09-11T02:21:19.398250,18.8,6
104,18,call,2025-09-08T12:45:24.922142,9.0,6
105,19,call,2025-09-03T10:07:55.507610,19.5,22
106,19,insurer_followup,2025-09-05T07:28:28.051640,37.9,22
107,19,doc_request,2025-09-06T03:24:08.102959,0.0,22
108,19,email,2025-09-04T16:18:24.867510,11.6,22
109,19,chat,2025-09-04T11:22:02.797179,12.3,22
110,19,chat,2025-09-04T22:38:28.172863,18.4,22
111,20,call,2025-05-04T00:22:14.455742,19.0,14
112,20,call,2025-05-05T16:30:06.732646,18.5,14
113,20,doc_request,2025-05-06T05:55:50.291171,0.0,14
114,20,chat,2025-05-05T20:33:45.650317,20.2,14
115,20,chat,2025-05-06T02:38:01.009097,7.1,14
116,20,email,2025-05-05T20:54:44.152404,3.4,14
117,21,call,2025-05-22T01:13:01.779073,6.3,12
118,21,chat,2025-05-23T06:24:45.619075,9.5,12
119,21,call,2025-05-23T10:52:53.249638,15.0,12
120,21,chat,2025-05-22T06:14:36.063328,6.9,12
121,21,insurer_followup,2025-05-23T08:13:24.151500,14.3,12
122,21,call,2025-05-23T18:25:36.749104,27.3,12
123,22,call,2026-02-13T13:24:24.251229,6.2,1
124,22,email,2026-02-14T16:26:48.267222,16.8,1
125,22,email,2026-02-14T05:01:05.972795,19.6,1
